Năm;Tháng;Ngày;Tên Cty nhập khẩu;Địa chỉ Cty nhập khẩu;HS code;Tên hàng;Thuế suất XNK;Đơn vị tính;Số Lượng;Đơn giá Nguyên tệ;Đơn giá khai báo(USD);Trị giá USD;Nguyên tệ;Tỷ giá nguyên tệ;Tỷ giá USD;Mã phương thức thanh toán;Điều kiện giao hàng;Phương tiện vận chuyển;Tên nuớc xuất khẩu;Tên nước nhập khẩu;Chi cục hải quan;Loại hình;Số tờ khai
2024;9;9/26/24;AROMA INTERNATIONAL INC;;03049910;YF TUNA GROUNDS#&Cá ngừ vây vàng xay nhuyễn cấp đông#&IN#&ID;0;LBS; 	15.884 ; 	3,10 ; 	2,96 ; 	47.079 ;USD; 	24.410,00 ; 	24.410,00 ;KC;CIF;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Phú Yên;Xuất sản phẩm sản xuất xuất khẩu;306771156110
2024;9;9/27/24;PRODUCTOS DEL MAR ANCAVICO SL.;POLIGONO INDUSTRIAL ELS ALGARS, C/I, 3 03820 COCENTAINA, ALICANTE, SPAIN;03049910;YF TUNA GROUNDS#&Cá ngừ vây vàng xay nhuyễn cấp đông#&NR#&CN;0;LBS; 	2.000 ; 	2,80 ; 	2,73 ; 	5.459 ;USD; 	24.410,00 ; 	24.410,00 ;LC;C&F;2-Đường biển (container);Viet Nam;Spain;Chi cục HQ Phú Yên;Xuất kinh doanh;306774402340
2024;9;9/28/24;PRODUCTOS DEL MAR ANCAVICO SL.;POLIGONO INDUSTRIAL ELS ALGARS, C/I, 3 03820 COCENTAINA, ALICANTE, SPAIN;03049910;YF TUNA GROUNDS#&Cá ngừ vây vàng xay nhuyễn cấp đông#&ID;0;LBS; 	7.000 ; 	2,98 ; 	2,90 ; 	20.280 ;USD; 	24.410,00 ; 	24.410,00 ;LC;C&F;2-Đường biển (container);Viet Nam;Spain;Chi cục HQ Phú Yên;Xuất sản phẩm sản xuất xuất khẩu;306778184440
2024;9;9/5/24;PT. FISHINDO LESTARI BERSAMA;;03049990;Rẻo cá Ngừ đông lạnh- FROZEN TUNA MEAT. NET WEIGHT: 100% PACKING: 10 KGS/BLOCK/PE X 2 BLOCKS/PP BAG.#&VN;0;Kilogam; 	25.000 ; 	0,93 ; 	0,89 ; 	22.340 ;USD; 	24.690,00 ; 	24.690,00 ;TTR;C&F;2-Đường biển (container);Viet Nam;Indonesia;Chi cục HQ CK Cảng Sài Gòn KV I;Xuất kinh doanh;306714448740
2024;9;9/5/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-16-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	6.356 ; 	9,90 ; 	9,90 ; 	62.936 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;Canada;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306714316810
2024;9;9/5/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-16-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	4.600 ; 	10,25 ; 	10,25 ; 	47.158 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;Canada;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306714316810
2024;9;9/5/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-16-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	3.360 ; 	10,40 ; 	10,40 ; 	34.950 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;Canada;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306714316810
2024;9;9/6/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-16-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	1.681 ; 	12,09 ; 	12,09 ; 	20.312 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306719240830
2024;9;9/6/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-16-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	1.557 ; 	10,08 ; 	10,08 ; 	15.685 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306719240830
2024;9;9/6/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-16-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	2.758 ; 	10,20 ; 	10,20 ; 	28.119 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306719240830
2024;9;9/6/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-16-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	168 ; 	10,13 ; 	10,13 ; 	1.701 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306719240830
